ID Name NumGS Coverage
1 1636-283 4 0.9732
2 ADS_16795 1 0.4748
3 AH03_J0748+26.9 4 0.9772
4 ASCC_5 1 0.6116
5 ASCC_6 1 0.6944
6 ASCC_9 2 0.7328
7 ASCC_11 2 0.8688
8 ASCC_12 0 0.0
9 ASCC_13 0 0.0
10 ASCC_14 2 0.8596
11 ASCC_18 0 0.0
12 ASCC_19 0 0.0
13 ASCC_20 0 0.0
14 ASCC_21 0 0.0
15 ASCC_23 0 0.0
16 ASCC_24 1 0.2964
17 ASCC_27 3 0.9148
18 ASCC_28 3 0.6916
19 ASCC_29 3 0.6832
20 ASCC_30 0 0.0
21 ASCC_33 1 0.384
22 ASCC_36 0 0.0
23 ASCC_45 1 0.3888
24 ASCC_51 0 0.0
25 ASCC_52 3 0.8476
26 ASCC_58 1 0.4416
27 ASCC_59 2 0.8108
28 ASCC_60 2 0.8368
29 ASCC_61 2 0.7636
30 ASCC_62 2 0.85
31 ASCC_63 6 0.9884
32 ASCC_65 5 0.9736
33 ASCC_66 0 0.0
34 ASCC_67 3 0.7884
35 ASCC_69 3 0.92
36 ASCC_71 3 0.9672
37 ASCC_72 2 0.8452
38 ASCC_73 2 0.7956
39 ASCC_75 0 0.0
40 ASCC_77 2 0.6968
41 ASCC_79 3 0.8196
42 ASCC_84 4 0.8756
43 ASCC_85 3 0.6076
44 ASCC_87 0 0.0
45 ASCC_88 3 0.8948
46 ASCC_90 2 0.8376
47 ASCC_93 2 0.5744
48 ASCC_94 3 0.8692
49 ASCC_95 5 0.9708
50 ASCC_99 2 0.8556
51 ASCC_100 1 0.4348
52 ASCC_101 1 0.6936
53 ASCC_104 1 0.4892
54 ASCC_105 2 0.8472
55 ASCC_106 2 0.7544
56 ASCC_107 2 0.642
57 ASCC_108 2 0.6184
58 ASCC_110 4 0.9544
59 ASCC_111 1 0.2412
60 ASCC_113 2 0.6908
61 ASCC_114 0 0.0
62 ASCC_115 1 0.6628
63 ASCC_123 2 0.5808
64 ASCC_125 1 0.6508
65 ASCC_127 0 0.0
66 ASCC_128 1 0.2728
67 AT_4 1 0.7092
68 AT_21 1 0.6696
69 Alessi_2 0 0.0
70 Alessi_3 0 0.0
71 Alessi_5 2 0.7916
72 Alessi_6 0 0.0
73 Alessi_8 3 0.6628
74 Alessi_9 4 0.9788
75 Alessi_10 0 0.0
76 Alessi_12 0 0.0
77 Alessi_13 0 0.0
78 Alessi_17 7 0.98
79 Alessi_19 2 0.8424
80 Alessi_20 2 0.7624
81 Alessi_21 3 0.89
82 Alessi_22 0 0.0
83 Alessi_24 0 0.0
84 Alessi_31 3 0.5592
85 Alessi_33 4 0.996
86 Alessi_34 0 0.0
87 Alessi_36 0 0.0
88 Alessi_37 0 0.0
89 Alessi_40 1 0.4992
90 Alessi_43 1 0.3384
91 Alessi_50 3 0.7064
92 Alessi_53 6 0.7904
93 Alessi_59 10 0.98
94 Alessi_60 8 0.966
95 Alessi_62 5 0.9616
96 Alessi_72 2 0.6968
97 Alessi_84 0 0.0
98 Alessi_94 1 0.518
99 Alessi_96 1 0.428
100 Alessi_116 1 0.7792
101 Alessi_144 2 0.6132
102 Alessi_145 0 0.0
103 Alessi_161 6 1.0
104 Alessi_170 3 0.9708
105 Alessi_190 3 0.8092
106 Alessi_191 3 0.9704
107 Alessi_80B 4 0.912
108 Alessi_J0601.6+3531 2 0.8388
109 Alessi_J0622.4+2114 1 0.5388
110 Alessi_J1933.7+1147 4 0.9048
111 Alessi_J2327.0+55 1 0.5852
112 Alessi-Teutsch_3 1 0.5796
113 Alessi-Teutsch_5 0 0.0
114 Alessi-Teutsch_8 2 0.6084
115 Alessi-Teutsch_9 0 0.0
116 Alessi-Teutsch_10 0 0.0
117 Alessi-Teutsch_11 0 0.0
118 Alessi-Teutsch_12 2 0.8832
119 Andrews-Lindsay_5 11 0.9688
120 Antalova_1 0 0.0
121 Antalova_2 1 0.278
122 Archinal_1 6 0.9708
123 Arp_2 3 0.664
124 Auner_1 6 0.9652
125 Aveni-Hunter_1 1 0.5192
126 BDSB_30 3 0.9796
127 BDSB_82 3 0.8412
128 BDSB_91 5 0.8216
129 BDSB_93 3 0.8808
130 BDSB_96 5 0.9992
131 BDSB_124 5 0.998
132 BH_19 8 1.0
133 BH_23 2 0.6692
134 BH_37 7 0.9256
135 BH_54 3 0.8512
136 BH_55 1 0.262
137 BH_56 0 0.0
138 BH_66 7 0.9956
139 BH_67 4 0.7756
140 BH_72 11 0.99
141 BH_73 6 0.9152
142 BH_75 3 0.838
143 BH_78 6 0.9924
144 BH_79 4 0.9044
145 BH_84 17 0.99
146 BH_85 3 0.8824
147 BH_87 6 0.9588
148 BH_88 1 0.4932
149 BH_90 1 0.2644
150 BH_92 5 0.9504
151 BH_99 1 0.5072
152 BH_106 0 0.0
153 BH_110 11 1.0
154 BH_111 9 0.9996
155 BH_118 4 0.9624
156 BH_131 5 0.9964
157 BH_132 8 0.9996
158 BH_140 5 0.966
159 BH_144 5 1.0
160 BH_150 11 1.0
161 BH_151 16 0.9928
162 BH_164 1 0.4436
163 BH_176 3 0.928
164 BH_184 3 0.8512
165 BH_200 6 0.816
166 BH_202 6 0.9972
167 BH_205 3 0.8496
168 BH_211 4 0.9068
169 BH_217 9 1.0
170 BH_221 3 0.864
171 BH_222 1 0.654
172 BH_229 6 0.958
173 BH_231 5 1.0
174 BH_245 14 0.9884
175 BH_261 7 0.9932
176 Barkhatova_1 2 0.9116
177 Basel_1 3 0.8888
178 Basel_4 6 0.992
179 Basel_8 0 0.0
180 Basel_10 3 0.8028
