ID Name Ra Dec NumGS Coverage
1 1636-283 249.85574296 -28.39919379 4 0.9732
2 ADS_16795 352.59216492 58.55341329 1 0.4748
3 AH03_J0748+26.9 117.1558869 -26.97267949 4 0.9772
4 ASCC_5 14.46908222 55.82917381 1 0.6116
5 ASCC_6 26.84215882 57.73860678 1 0.6944
6 ASCC_9 41.62390108 57.77684685 2 0.7328
7 ASCC_11 53.05042398 44.84076681 2 0.8688
8 ASCC_12 72.42059742 41.71429711 0 0.0
9 ASCC_13 78.22066967 44.36502692 0 0.0
10 ASCC_14 80.00385802 35.22905658 2 0.8596
11 ASCC_18 81.33025179 0.36762755 0 0.0
12 ASCC_19 81.97812989 -1.8560224 0 0.0
13 ASCC_20 82.19355425 1.72130405 0 0.0
14 ASCC_21 82.21204038 3.60658547 0 0.0
15 ASCC_23 95.02982828 46.68569526 0 0.0
16 ASCC_24 97.26088906 -7.03519235 1 0.2964
17 ASCC_27 103.51203969 -4.51159597 3 0.9148
18 ASCC_28 103.45291027 -0.1287823 3 0.6916
19 ASCC_29 103.58953286 -1.66867729 3 0.6832
20 ASCC_30 104.23729253 -6.21213759 0 0.0
21 ASCC_33 105.45444654 -24.43701314 1 0.384
22 ASCC_36 108.6233592 -21.10056525 0 0.0
23 ASCC_45 124.14491525 -35.65482525 1 0.3888
24 ASCC_51 140.3967267 -69.8552943 0 0.0
25 ASCC_52 141.8228284 -54.50968599 3 0.8476
26 ASCC_58 153.70559195 -55.02031159 1 0.4416
27 ASCC_59 155.39603909 -57.67908029 2 0.8108
28 ASCC_60 158.17090211 -58.63124986 2 0.8368
29 ASCC_61 161.59049343 -57.04482418 2 0.7636
30 ASCC_62 162.76183505 -60.08322363 2 0.85
31 ASCC_63 164.0968243 -60.47665098 6 0.9884
32 ASCC_65 167.83398675 -61.16702171 5 0.9736
33 ASCC_66 168.34376049 -55.42612746 0 0.0
34 ASCC_67 175.37530127 -61.05654916 3 0.7884
35 ASCC_69 181.59366412 -69.85703281 3 0.92
36 ASCC_71 185.1690943 -67.52149108 3 0.9672
37 ASCC_72 193.76376292 -61.05354969 2 0.8452
38 ASCC_73 189.29220321 -67.21018149 2 0.7956
39 ASCC_75 206.93197947 -62.4524761 0 0.0
40 ASCC_77 212.69603971 -62.36042349 2 0.6968
41 ASCC_79 229.36721461 -61.07482263 3 0.8196
42 ASCC_84 238.68273064 -60.71272864 4 0.8756
43 ASCC_85 251.92430697 -45.57210398 3 0.6076
44 ASCC_87 255.69785201 -28.45807211 0 0.0
45 ASCC_88 256.85062355 -35.55640977 3 0.8948
46 ASCC_90 264.76196704 -34.81736389 2 0.8376
47 ASCC_93 271.91260729 -22.28335608 2 0.5744
48 ASCC_94 273.92216203 -14.90845919 3 0.8692
49 ASCC_95 274.0570994 -25.8321451 5 0.9708
50 ASCC_99 282.17181947 -18.38406542 2 0.8556
51 ASCC_100 285.40308767 33.60094346 1 0.4348
52 ASCC_101 288.34468256 36.35990257 1 0.6936
53 ASCC_104 294.6958354 18.61877529 1 0.4892
54 ASCC_105 295.47160222 27.38609425 2 0.8472
55 ASCC_106 295.7915641 1.56308576 2 0.7544
56 ASCC_107 297.15176841 21.97962092 2 0.642
57 ASCC_108 298.38722026 39.34259987 2 0.6184
58 ASCC_110 300.72462084 33.52724535 4 0.9544
59 ASCC_111 302.96058097 37.53095892 1 0.2412
60 ASCC_113 317.96259567 38.54530468 2 0.6908
61 ASCC_114 325.06281466 53.98983419 0 0.0
62 ASCC_115 329.18989889 51.54924563 1 0.6628
63 ASCC_123 340.56270179 54.19891451 2 0.5808
